id,name,star,character_key,series_key,series,edition,edition_short,variant,pose,rarity_index,rarity,colour_key,colour,battle_points,binder_value,recycle_value,power_type,power_name,power_text,power_json,secret_type,secret_name,secret_text,source,year,blurb
gertie8,Gertie the Dinosaur · Platinum,Gertie the Dinosaur,gertie,sil,Silent Screen,Full Platinum,Platinum,platinum,hero,4,Legendary,slv,Silver,13,1500,1500,plusAll,Anthem,+2 to each of your other gToons,"{""t"":""plusAll"",""n"":2}",veto,Veto,Cancels the opposing gToon's power,packs / trades / free chip,1914,The friendliest brontosaurus in vaudeville. Does tricks.
alfalfa1,Farmer Al Falfa,Farmer Al Falfa,alfalfa,sil,Silent Screen,Classic,Classic,classic,normal,0,Common,yel,Yellow,3,25,25,none,None,NO POWER,"{""t"":""none""}",,,,packs / trades / free chip,1916,"Grumpy, bearded, and forever losing to his own farm animals."
alfalfa2,Farmer Al Falfa · Al Falfa's Catastrophe,Farmer Al Falfa,alfalfa,sil,Silent Screen,Al Falfa's Catastrophe (1916),Reel 1916,reel,mirror,1,Uncommon,org,Orange,6,60,60,back,Backstage,+4 when played in the back row,"{""t"":""back"",""n"":4}",,,,packs / trades / free chip,1916,"Grumpy, bearded, and forever losing to his own farm animals."
alfalfa3,Farmer Al Falfa · Spotlight,Farmer Al Falfa,alfalfa,sil,Silent Screen,Spotlight,Spotlight,stage,zoom,2,Rare,yel,Yellow,8,150,150,steal,Pickpocket,Takes 3 points from the opposing gToon,"{""t"":""steal"",""n"":3}",,,,packs / trades / free chip,1916,"Grumpy, bearded, and forever losing to his own farm animals."
alfalfa4,Farmer Al Falfa · Holo,Farmer Al Falfa,alfalfa,sil,Silent Screen,Holo,Holo,holo,hero,3,Mythic,yel,Yellow,8,500,500,perOwnColor,Rally,+2 for each of your Yellow gToons,"{""t"":""perOwnColor"",""color"":""yel"",""n"":2}",chain,Chorus Line,+1 for each other gToon in its row,packs / trades / free chip,1916,"Grumpy, bearded, and forever losing to his own farm animals."
alfalfa5,Farmer Al Falfa · Silver,Farmer Al Falfa,alfalfa,sil,Silent Screen,Full Silver,Silver,silver,hero,3,Mythic,slv,Silver,9,500,500,mirror,Mirror,Copies the opposing gToon's points,"{""t"":""mirror""}",shield,Shield,Cannot lose points to opposing powers,packs / trades / free chip,1916,"Grumpy, bearded, and forever losing to his own farm animals."
alfalfa6,Farmer Al Falfa · Dark Matter,Farmer Al Falfa,alfalfa,sil,Silent Screen,Dark Matter,Dark Matter,dark,hero,3,Mythic,yel,Yellow,9,500,500,minusOppColor,Hex,-3 to each opponent Blue gToon,"{""t"":""minusOppColor"",""color"":""blu"",""n"":3}",bomb,Brick,-2 to the opposing gToon and its row neighbours,packs / trades / free chip,1916,"Grumpy, bearded, and forever losing to his own farm animals."
alfalfa7,Farmer Al Falfa · Gold,Farmer Al Falfa,alfalfa,sil,Silent Screen,Full Gold,Gold,gold,hero,4,Legendary,yel,Yellow,13,1500,1500,perOppColor,Counter,+3 for each opponent Green gToon,"{""t"":""perOppColor"",""color"":""grn"",""n"":3}",crown,Crown,+4 if nothing on your side has more points,packs / trades / free chip,1916,"Grumpy, bearded, and forever losing to his own farm animals."
alfalfa8,Farmer Al Falfa · Platinum,Farmer Al Falfa,alfalfa,sil,Silent Screen,Full Platinum,Platinum,platinum,hero,4,Legendary,slv,Silver,13,1500,1500,plusAll,Anthem,+2 to each of your other gToons,"{""t"":""plusAll"",""n"":2}",veto,Veto,Cancels the opposing gToon's power,packs / trades / free chip,1916,"Grumpy, bearded, and forever losing to his own farm animals."
koko1,Koko the Clown,Koko the Clown,koko,ink,Inkwell Studio,Classic,Classic,classic,normal,0,Common,slv,Silver,4,25,25,x2,Buddy,x2 to Bimbo,"{""t"":""x2"",""id"":""bimbo""}",,,,packs / trades / free chip,1918,Climbs out of the inkwell every night to cause trouble.
koko2,Koko the Clown · Out of the Inkwell,Koko the Clown,koko,ink,Inkwell Studio,Out of the Inkwell (1918),Reel 1918,reel,mirror,1,Uncommon,prp,Purple,6,60,60,opp,Jab,-3 to the opposing gToon,"{""t"":""opp"",""n"":3}",,,,packs / trades / free chip,1918,Climbs out of the inkwell every night to cause trouble.
koko3,Koko the Clown · Spotlight,Koko the Clown,koko,ink,Inkwell Studio,Spotlight,Spotlight,stage,zoom,2,Rare,slv,Silver,9,150,150,mirror,Mirror,Copies the opposing gToon's points,"{""t"":""mirror""}",,,,packs / trades / free chip,1918,Climbs out of the inkwell every night to cause trouble.
koko4,Koko the Clown · Holo,Koko the Clown,koko,ink,Inkwell Studio,Holo,Holo,holo,hero,3,Mythic,slv,Silver,9,500,500,perOwnColor,Rally,+2 for each of your Silver gToons,"{""t"":""perOwnColor"",""color"":""slv"",""n"":2}",chain,Chorus Line,+1 for each other gToon in its row,packs / trades / free chip,1918,Climbs out of the inkwell every night to cause trouble.
koko5,Koko the Clown · Silver,Koko the Clown,koko,ink,Inkwell Studio,Full Silver,Silver,silver,hero,3,Mythic,slv,Silver,10,500,500,steal,Pickpocket,Takes 4 points from the opposing gToon,"{""t"":""steal"",""n"":4}",shield,Shield,Cannot lose points to opposing powers,packs / trades / free chip,1918,Climbs out of the inkwell every night to cause trouble.
koko6,Koko the Clown · Dark Matter,Koko the Clown,koko,ink,Inkwell Studio,Dark Matter,Dark Matter,dark,hero,3,Mythic,slv,Silver,10,500,500,minusOppColor,Hex,-3 to each opponent Purple gToon,"{""t"":""minusOppColor"",""color"":""prp"",""n"":3}",bomb,Brick,-2 to the opposing gToon and its row neighbours,packs / trades / free chip,1918,Climbs out of the inkwell every night to cause trouble.
koko7,Koko the Clown · Gold,Koko the Clown,koko,ink,Inkwell Studio,Full Gold,Gold,gold,hero,4,Legendary,slv,Silver,13,1500,1500,minusOppColor,Hex,-3 to each opponent Red gToon,"{""t"":""minusOppColor"",""color"":""red"",""n"":3}",crown,Crown,+4 if nothing on your side has more points,packs / trades / free chip,1918,Climbs out of the inkwell every night to cause trouble.
koko8,Koko the Clown · Platinum,Koko the Clown,koko,ink,Inkwell Studio,Full Platinum,Platinum,platinum,hero,4,Legendary,slv,Silver,13,1500,1500,plusAll,Anthem,+2 to each of your other gToons,"{""t"":""plusAll"",""n"":2}",veto,Veto,Cancels the opposing gToon's power,packs / trades / free chip,1918,Climbs out of the inkwell every night to cause trouble.
bimbo1,Bimbo,Bimbo,bimbo,ink,Inkwell Studio,Classic,Classic,classic,normal,0,Common,slv,Silver,2,25,25,perOwnColor,Rally,+2 for each of your Silver gToons,"{""t"":""perOwnColor"",""color"":""slv"",""n"":2}",,,,packs / trades / free chip,1930,A dog about town with big ears and bigger ideas.
bimbo2,Bimbo · Hot Dog,Bimbo,bimbo,ink,Inkwell Studio,Hot Dog (1930),Reel 1930,reel,mirror,1,Uncommon,blu,Blue,5,60,60,first,Opener,+4 if played first,"{""t"":""first"",""n"":4}",,,,packs / trades / free chip,1930,A dog about town with big ears and bigger ideas.
bimbo3,Bimbo · Spotlight,Bimbo,bimbo,ink,Inkwell Studio,Spotlight,Spotlight,stage,zoom,2,Rare,slv,Silver,7,150,150,lonely,Loner,+4 if no gToons are next to it,"{""t"":""lonely"",""n"":4}",,,,packs / trades / free chip,1930,A dog about town with big ears and bigger ideas.
bimbo4,Bimbo · Holo,Bimbo,bimbo,ink,Inkwell Studio,Holo,Holo,holo,hero,3,Mythic,slv,Silver,8,500,500,perOwnColor,Rally,+2 for each of your Silver gToons,"{""t"":""perOwnColor"",""color"":""slv"",""n"":2}",chain,Chorus Line,+1 for each other gToon in its row,packs / trades / free chip,1930,A dog about town with big ears and bigger ideas.
bimbo5,Bimbo · Silver,Bimbo,bimbo,ink,Inkwell Studio,Full Silver,Silver,silver,hero,3,Mythic,slv,Silver,9,500,500,mirror,Mirror,Copies the opposing gToon's points,"{""t"":""mirror""}",shield,Shield,Cannot lose points to opposing powers,packs / trades / free chip,1930,A dog about town with big ears and bigger ideas.
bimbo6,Bimbo · Dark Matter,Bimbo,bimbo,ink,Inkwell Studio,Dark Matter,Dark Matter,dark,hero,3,Mythic,slv,Silver,9,500,500,minusOppColor,Hex,-3 to each opponent Purple gToon,"{""t"":""minusOppColor"",""color"":""prp"",""n"":3}",bomb,Brick,-2 to the opposing gToon and its row neighbours,packs / trades / free chip,1930,A dog about town with big ears and bigger ideas.
bimbo7,Bimbo · Gold,Bimbo,bimbo,ink,Inkwell Studio,Full Gold,Gold,gold,hero,4,Legendary,slv,Silver,13,1500,1500,plusOwnColor,Boost,+2 to each of your other Silver gToons,"{""t"":""plusOwnColor"",""color"":""slv"",""n"":2}",crown,Crown,+4 if nothing on your side has more points,packs / trades / free chip,1930,A dog about town with big ears and bigger ideas.
bimbo8,Bimbo · Platinum,Bimbo,bimbo,ink,Inkwell Studio,Full Platinum,Platinum,platinum,hero,4,Legendary,slv,Silver,13,1500,1500,plusAll,Anthem,+2 to each of your other gToons,"{""t"":""plusAll"",""n"":2}",veto,Veto,Cancels the opposing gToon's power,packs / trades / free chip,1930,A dog about town with big ears and bigger ideas.
betty1,Betty Boop,Betty Boop,betty,ink,Inkwell Studio,Classic,Classic,classic,normal,0,Common,red,Red,4,25,25,x2,Buddy,x2 to Bimbo,"{""t"":""x2"",""id"":""bimbo""}",,,,packs / trades / free chip,1930,"The 1930 original, floppy ears and all. Boop-oop-a-doop!"
betty2,Betty Boop · Dizzy Dishes,Betty Boop,betty,ink,Inkwell Studio,Dizzy Dishes (1930),Reel 1930,reel,mirror,1,Uncommon,red,Red,7,60,60,front,Spotlight,+4 when played in the front row,"{""t"":""front"",""n"":4}",,,,packs / trades / free chip,1930,"The 1930 original, floppy ears and all. Boop-oop-a-doop!"
betty3,Betty Boop · Spotlight,Betty Boop,betty,ink,Inkwell Studio,Spotlight,Spotlight,stage,zoom,2,Rare,red,Red,10,150,150,plusOwnColor,Boost,+2 to each of your other Red gToons,"{""t"":""plusOwnColor"",""color"":""red"",""n"":2}",,,,packs / trades / free chip,1930,"The 1930 original, floppy ears and all. Boop-oop-a-doop!"
betty4,Betty Boop · Holo,Betty Boop,betty,ink,Inkwell Studio,Holo,Holo,holo,hero,3,Mythic,red,Red,11,500,500,perOwnColor,Rally,+2 for each of your Red gToons,"{""t"":""perOwnColor"",""color"":""red"",""n"":2}",chain,Chorus Line,+1 for each other gToon in its row,packs / trades / free chip,1930,"The 1930 original, floppy ears and all. Boop-oop-a-doop!"
betty5,Betty Boop · Silver,Betty Boop,betty,ink,Inkwell Studio,Full Silver,Silver,silver,hero,3,Mythic,slv,Silver,12,500,500,steal,Pickpocket,Takes 4 points from the opposing gToon,"{""t"":""steal"",""n"":4}",shield,Shield,Cannot lose points to opposing powers,packs / trades / free chip,1930,"The 1930 original, floppy ears and all. Boop-oop-a-doop!"
betty6,Betty Boop · Dark Matter,Betty Boop,betty,ink,Inkwell Studio,Dark Matter,Dark Matter,dark,hero,3,Mythic,red,Red,12,500,500,minusOppColor,Hex,-3 to each opponent Green gToon,"{""t"":""minusOppColor"",""color"":""grn"",""n"":3}",bomb,Brick,-2 to the opposing gToon and its row neighbours,packs / trades / free chip,1930,"The 1930 original, floppy ears and all. Boop-oop-a-doop!"
betty7,Betty Boop · Gold,Betty Boop,betty,ink,Inkwell Studio,Full Gold,Gold,gold,hero,4,Legendary,red,Red,15,1500,1500,perOwnColor,Rally,+3 for each of your Red gToons,"{""t"":""perOwnColor"",""color"":""red"",""n"":3}",crown,Crown,+4 if nothing on your side has more points,packs / trades / free chip,1930,"The 1930 original, floppy ears and all. Boop-oop-a-doop!"
betty8,Betty Boop · Platinum,Betty Boop,betty,ink,Inkwell Studio,Full Platinum,Platinum,platinum,hero,4,Legendary,slv,Silver,14,1500,1500,plusAll,Anthem,+2 to each of your other gToons,"{""t"":""plusAll"",""n"":2}",veto,Veto,Cancels the opposing gToon's power,packs / trades / free chip,1930,"The 1930 original, floppy ears and all. Boop-oop-a-doop!"
popeye1,Popeye,Popeye,popeye,thm,Thimble Theatre,Classic,Classic,classic,normal,0,Common,blu,Blue,5,25,25,x2,Buddy,x2 to Olive Oyl,"{""t"":""x2"",""id"":""olive""}",,,,packs / trades / free chip,1929,He is what he is. Strong to the finish.
popeye2,Popeye · Thimble Theatre,Popeye,popeye,thm,Thimble Theatre,Thimble Theatre (1929),Reel 1929,reel,mirror,1,Uncommon,blu,Blue,8,60,60,opp,Jab,-4 to the opposing gToon,"{""t"":""opp"",""n"":4}",,,,packs / trades / free chip,1929,He is what he is. Strong to the finish.
popeye3,Popeye · Spotlight,Popeye,popeye,thm,Thimble Theatre,Spotlight,Spotlight,stage,zoom,2,Rare,blu,Blue,10,150,150,steal,Pickpocket,Takes 4 points from the opposing gToon,"{""t"":""steal"",""n"":4}",,,,packs / trades / free chip,1929,He is what he is. Strong to the finish.
popeye4,Popeye · Holo,Popeye,popeye,thm,Thimble Theatre,Holo,Holo,holo,hero,3,Mythic,blu,Blue,12,500,500,perOwnColor,Rally,+2 for each of your Blue gToons,"{""t"":""perOwnColor"",""color"":""blu"",""n"":2}",chain,Chorus Line,+1 for each other gToon in its row,packs / trades / free chip,1929,He is what he is. Strong to the finish.
popeye5,Popeye · Silver,Popeye,popeye,thm,Thimble Theatre,Full Silver,Silver,silver,hero,3,Mythic,slv,Silver,13,500,500,steal,Pickpocket,Takes 4 points from the opposing gToon,"{""t"":""steal"",""n"":4}",shield,Shield,Cannot lose points to opposing powers,packs / trades / free chip,1929,He is what he is. Strong to the finish.
popeye6,Popeye · Dark Matter,Popeye,popeye,thm,Thimble Theatre,Dark Matter,Dark Matter,dark,hero,3,Mythic,blu,Blue,13,500,500,minusOppColor,Hex,-3 to each opponent Orange gToon,"{""t"":""minusOppColor"",""color"":""org"",""n"":3}",bomb,Brick,-2 to the opposing gToon and its row neighbours,packs / trades / free chip,1929,He is what he is. Strong to the finish.
popeye7,Popeye · Gold,Popeye,popeye,thm,Thimble Theatre,Full Gold,Gold,gold,hero,4,Legendary,blu,Blue,16,1500,1500,opp,Jab,-8 to the opposing gToon,"{""t"":""opp"",""n"":8}",crown,Crown,+4 if nothing on your side has more points,packs / trades / free chip,1929,He is what he is. Strong to the finish.
popeye8,Popeye · Platinum,Popeye,popeye,thm,Thimble Theatre,Full Platinum,Platinum,platinum,hero,4,Legendary,slv,Silver,15,1500,1500,plusAll,Anthem,+2 to each of your other gToons,"{""t"":""plusAll"",""n"":2}",veto,Veto,Cancels the opposing gToon's power,packs / trades / free chip,1929,He is what he is. Strong to the finish.
olive1,Olive Oyl,Olive Oyl,olive,thm,Thimble Theatre,Classic,Classic,classic,normal,0,Common,red,Red,2,25,25,x2,Buddy,x2 to Popeye,"{""t"":""x2"",""id"":""popeye""}",,,,packs / trades / free chip,1919,"Tall, tough and ten years older than Popeye."
olive2,Olive Oyl · Thimble Theatre,Olive Oyl,olive,thm,Thimble Theatre,Thimble Theatre (1919),Reel 1919,reel,mirror,1,Uncommon,red,Red,5,60,60,back,Backstage,+3 when played in the back row,"{""t"":""back"",""n"":3}",,,,packs / trades / free chip,1919,"Tall, tough and ten years older than Popeye."
olive3,Olive Oyl · Spotlight,Olive Oyl,olive,thm,Thimble Theatre,Spotlight,Spotlight,stage,zoom,2,Rare,red,Red,7,150,150,perOwnColor,Rally,+2 for each of your Blue gToons,"{""t"":""perOwnColor"",""color"":""blu"",""n"":2}",,,,packs / trades / free chip,1919,"Tall, tough and ten years older than Popeye."
olive4,Olive Oyl · Holo,Olive Oyl,olive,thm,Thimble Theatre,Holo,Holo,holo,hero,3,Mythic,red,Red,8,500,500,perOwnColor,Rally,+2 for each of your Red gToons,"{""t"":""perOwnColor"",""color"":""red"",""n"":2}",chain,Chorus Line,+1 for each other gToon in its row,packs / trades / free chip,1919,"Tall, tough and ten years older than Popeye."
olive5,Olive Oyl · Silver,Olive Oyl,olive,thm,Thimble Theatre,Full Silver,Silver,silver,hero,3,Mythic,slv,Silver,9,500,500,mirror,Mirror,Copies the opposing gToon's points,"{""t"":""mirror""}",shield,Shield,Cannot lose points to opposing powers,packs / trades / free chip,1919,"Tall, tough and ten years older than Popeye."
olive6,Olive Oyl · Dark Matter,Olive Oyl,olive,thm,Thimble Theatre,Dark Matter,Dark Matter,dark,hero,3,Mythic,red,Red,9,500,500,minusOppColor,Hex,-3 to each opponent Green gToon,"{""t"":""minusOppColor"",""color"":""grn"",""n"":3}",bomb,Brick,-2 to the opposing gToon and its row neighbours,packs / trades / free chip,1919,"Tall, tough and ten years older than Popeye."
olive7,Olive Oyl · Gold,Olive Oyl,olive,thm,Thimble Theatre,Full Gold,Gold,gold,hero,4,Legendary,red,Red,13,1500,1500,plusOwnColor,Boost,+2 to each of your other Blue gToons,"{""t"":""plusOwnColor"",""color"":""blu"",""n"":2}",crown,Crown,+4 if nothing on your side has more points,packs / trades / free chip,1919,"Tall, tough and ten years older than Popeye."
olive8,Olive Oyl · Platinum,Olive Oyl,olive,thm,Thimble Theatre,Full Platinum,Platinum,platinum,hero,4,Legendary,slv,Silver,13,1500,1500,plusAll,Anthem,+2 to each of your other gToons,"{""t"":""plusAll"",""n"":2}",veto,Veto,Cancels the opposing gToon's power,packs / trades / free chip,1919,"Tall, tough and ten years older than Popeye."
oswald1,Oswald the Lucky Rabbit,Oswald the Lucky Rabbit,oswald,rub,Rubber Hose Rascals,Classic,Classic,classic,normal,0,Common,blu,Blue,4,25,25,lonely,Loner,+3 if no gToons are next to it,"{""t"":""lonely"",""n"":3}",,,,packs / trades / free chip,1927,Lucky by name. Detachable by design.
oswald2,Oswald the Lucky Rabbit · Trolley Troubles,Oswald the Lucky Rabbit,oswald,rub,Rubber Hose Rascals,Trolley Troubles (1927),Reel 1927,reel,mirror,1,Uncommon,blu,Blue,7,60,60,front,Spotlight,+3 when played in the front row,"{""t"":""front"",""n"":3}",,,,packs / trades / free chip,1927,Lucky by name. Detachable by design.
oswald3,Oswald the Lucky Rabbit · Spotlight,Oswald the Lucky Rabbit,oswald,rub,Rubber Hose Rascals,Spotlight,Spotlight,stage,zoom,2,Rare,prp,Purple,9,150,150,minusOppColor,Hex,-3 to each opponent Green gToon,"{""t"":""minusOppColor"",""color"":""grn"",""n"":3}",,,,packs / trades / free chip,1927,Lucky by name. Detachable by design.
oswald4,Oswald the Lucky Rabbit · Holo,Oswald the Lucky Rabbit,oswald,rub,Rubber Hose Rascals,Holo,Holo,holo,hero,3,Mythic,blu,Blue,9,500,500,perOwnColor,Rally,+2 for each of your Blue gToons,"{""t"":""perOwnColor"",""color"":""blu"",""n"":2}",chain,Chorus Line,+1 for each other gToon in its row,packs / trades / free chip,1927,Lucky by name. Detachable by design.
oswald5,Oswald the Lucky Rabbit · Silver,Oswald the Lucky Rabbit,oswald,rub,Rubber Hose Rascals,Full Silver,Silver,silver,hero,3,Mythic,slv,Silver,10,500,500,mirror,Mirror,Copies the opposing gToon's points,"{""t"":""mirror""}",shield,Shield,Cannot lose points to opposing powers,packs / trades / free chip,1927,Lucky by name. Detachable by design.
oswald6,Oswald the Lucky Rabbit · Dark Matter,Oswald the Lucky Rabbit,oswald,rub,Rubber Hose Rascals,Dark Matter,Dark Matter,dark,hero,3,Mythic,blu,Blue,10,500,500,minusOppColor,Hex,-3 to each opponent Orange gToon,"{""t"":""minusOppColor"",""color"":""org"",""n"":3}",bomb,Brick,-2 to the opposing gToon and its row neighbours,packs / trades / free chip,1927,Lucky by name. Detachable by design.
oswald7,Oswald the Lucky Rabbit · Gold,Oswald the Lucky Rabbit,oswald,rub,Rubber Hose Rascals,Full Gold,Gold,gold,hero,4,Legendary,blu,Blue,13,1500,1500,plusOwnColor,Boost,+3 to each of your other Blue gToons,"{""t"":""plusOwnColor"",""color"":""blu"",""n"":3}",crown,Crown,+4 if nothing on your side has more points,packs / trades / free chip,1927,Lucky by name. Detachable by design.
oswald8,Oswald the Lucky Rabbit · Platinum,Oswald the Lucky Rabbit,oswald,rub,Rubber Hose Rascals,Full Platinum,Platinum,platinum,hero,4,Legendary,slv,Silver,13,1500,1500,plusAll,Anthem,+2 to each of your other gToons,"{""t"":""plusAll"",""n"":2}",veto,Veto,Cancels the opposing gToon's power,packs / trades / free chip,1927,Lucky by name. Detachable by design.
willie1,Steamboat Willie,Steamboat Willie,willie,rub,Rubber Hose Rascals,Classic,Classic,classic,normal,0,Common,slv,Silver,4,25,25,first,Opener,+3 if played first,"{""t"":""first"",""n"":3}",,,,packs / trades / free chip,1928,The 1928 deckhand who whistled his way into history.
willie2,Steamboat Willie · Steamboat Willie,Steamboat Willie,willie,rub,Rubber Hose Rascals,Steamboat Willie (1928),Reel 1928,reel,mirror,1,Uncommon,org,Orange,7,60,60,perOwnColor,Rally,+2 for each of your Orange gToons,"{""t"":""perOwnColor"",""color"":""org"",""n"":2}",,,,packs / trades / free chip,1928,The 1928 deckhand who whistled his way into history.
willie3,Steamboat Willie · Spotlight,Steamboat Willie,willie,rub,Rubber Hose Rascals,Spotlight,Spotlight,stage,zoom,2,Rare,slv,Silver,9,150,150,back,Backstage,+5 when played in the back row,"{""t"":""back"",""n"":5}",,,,packs / trades / free chip,1928,The 1928 deckhand who whistled his way into history.
willie4,Steamboat Willie · Holo,Steamboat Willie,willie,rub,Rubber Hose Rascals,Holo,Holo,holo,hero,3,Mythic,slv,Silver,11,500,500,perOwnColor,Rally,+2 for each of your Silver gToons,"{""t"":""perOwnColor"",""color"":""slv"",""n"":2}",chain,Chorus Line,+1 for each other gToon in its row,packs / trades / free chip,1928,The 1928 deckhand who whistled his way into history.
willie5,Steamboat Willie · Silver,Steamboat Willie,willie,rub,Rubber Hose Rascals,Full Silver,Silver,silver,hero,3,Mythic,slv,Silver,12,500,500,steal,Pickpocket,Takes 4 points from the opposing gToon,"{""t"":""steal"",""n"":4}",shield,Shield,Cannot lose points to opposing powers,packs / trades / free chip,1928,The 1928 deckhand who whistled his way into history.
willie6,Steamboat Willie · Dark Matter,Steamboat Willie,willie,rub,Rubber Hose Rascals,Dark Matter,Dark Matter,dark,hero,3,Mythic,slv,Silver,12,500,500,minusOppColor,Hex,-3 to each opponent Purple gToon,"{""t"":""minusOppColor"",""color"":""prp"",""n"":3}",bomb,Brick,-2 to the opposing gToon and its row neighbours,packs / trades / free chip,1928,The 1928 deckhand who whistled his way into history.
